a,on;in,多充当表语或后位定语
a,not,
an,not,用于元音或不发音的h前
ab,away from，off,
abs,away from，off,用于c、t 前
ad,"to，at ,加强语气",
axx,"to，at ,加强语气",
"ack,acq","to，at ,加强语气",
be,to make,
be,about ，completely,
com,with ，together,在b，p，m，f 前
co,with ，together,在元音、不发音的h、gn 前
col,with ，together,在l前
cor,with ，together,在r前
con,with ，together,其余
bi,two twice doubly,
bin,two twice doubly,在元音前
by,secondly ，near by,
de,"down , away",
de,to undo,
di,twice ， two,
dia,through，across,
di,through，across,在元音前
dis,"no, undo // away",
dif,"no, undo // away",在f前
di,"no, undo // away",c r s p t 前
dys,坏,
en,put into // make,
em,put into // make,b p m 前
epi,在...周围,
eu,好,
ex,出 //前任,c h p q s t 前
e,出 //前任,b d g j l m n r v 前
ef,出 //前任,f 前
for,"away ,forth",
in,不，无 //  进入,
im,不，无 //  进入,b p m 前
il,不，无 //  进入,l前
ir,不，无 //  进入,r前
mis,错误，坏,
ob,"toward, against",
oc,"toward, against",在c前
of,"toward, against",在f前
op,"toward, against",在p前
paleo,old,
para,"半,类似,辅助//降落伞",
par,"半,类似,辅助//降落伞",在元音前
pen,近似，差不多,
per,"throughout,thoroughly",
,to destruction,
peri,"around, near",
pro,"forward,forth,",
,out,
,"in favour of,in place of",
re,"back, against no ; again",
red,"back, against no ; again",在元音前
retro,backward,
se,"apart , aside, away",
sed,"apart , aside, away",在元音前
sub,"1：在下面,次一等,副手",
suc,2：接近、靠近,在c前
suf,,在f前
sup,,在p前
sur,,在r前
sus,与sub一样,不是suss结构
sur,"超过,在上面",
syn,共同、相同,
sym,,b p m 前
syl,,l前
sy,,s前
