,a,[ei],art.一(个)；每一(个)；(同类事物中)任一个
,abandon,[?'b?nd?n],v./n.放弃；放纵
,abandoned,[?'b?nd?nd],"a.被抛弃的,废置的"
,abandonment,[?'b?nd?nm?nt],n.抛弃;放弃
,abase,[?'beis],v.降低自己，贬抑，使卑下
,abash,[?'b??],v.使害羞，使尴尬
,abate,[?'beit],v.减轻，减少
,abbreviate,[?'bri:vieit],v.缩短；缩写
,abbreviation,[??bri:vi'ei??n],n.缩写;缩写词
,abdicate,['?bdikeit],v.退位，辞职，放弃
,abdomen,[?b'd?umen],n.腹，下腹(胸部到腿部的部分)
,abduct,[?b'd?kt],v.绑架，拐走
,aberrant,[?'ber?nt],a.越轨的；异常的
,aberration,"[,?b?'rei??n]",n.离开正路，脱离常轨；变形
,abet,[?'bet],v.教唆，鼓励，帮助
,abeyance,[?'bei?ns],n.中止，搁置
,abhor,[?b'h?:],v.憎恨，嫌恶
,abhorrent,[?b'h?r?nt],a.可恨的，讨厌的
,abide,[?'baid],v.容忍，忍受
,abide,[?'baid],vi.(abode，abided)(by)遵守；坚持
,abiding,[?'baidi?],"a.持久的,始终不渝的"
,ability,[?'biliti],n.能力；本领；才能，才干；专门技能，天资
,abject,['?bd?ekt],a.极可怜的;卑下的
,abjure,[?b'd?u?],v.发誓放弃
,ablate,[?b'leit],"v.切除,摘除"
,ablaze,[?'bleiz],"a.着火的,闪耀的"
,able  ,['eibl],a.有(能力、时间、知识等)做某事，有本事的
,ablution,[?'blu:??n],n.(宗教的)净礼，沐浴
,abnegate,['?bniɡeit],v.否认，放弃
,abnegation,"[,?bni'ɡei??n]",n.放弃;自我牺牲
,abnormal,[?b'n?:m?l],a.反常的，不正常的，不规则的
,aboard,[?'b?:d],ad.&prep.在船(飞机、车)上；ad.上船(飞机)
,abolish,[?'b?li?],v.废止，废除(法律、制度、习俗等)
,abolition,[?b?'li??n],n.废除，革除
,abolitionist,[??b?'li??nist],n.废奴主义者
,abominate,[?'b?mineit],v.痛恨；厌恶
,aboriginal,"[,?b?'rid??n?l]",n.原始居民，土著
,abort,[?'b?:t],n.中止计划(任务)
,abortion,[?'b?:??n],"n.流产,早产;(计划等的)失败,夭折"
,abortive,[?'b?:tiv],a.无结果的，失败的
,abound,[?'baund],v.充满;富于
,about,[?'baut],ad.在周围；大约 prep.关于；在周围 a.准备
,above,[?'b?v],a.上述的 ad.在上面  prep.在..之上，高于
,aboveboard,"[?'b?v,b?:d]",a./adv.光明正大的(地)
,abrade,[?'breid],v.磨损，磨小
,abrasion,[?'brei??n],n.表面磨损
,abrasive,[?'breisiv],a.磨损的；生硬粗暴的
,abreast,[?'brest],adv.并列，并排
,abridge,[?'brid?],v.删减；缩短
,abroad,[?'br?:d],ad.到国外，在国外；在传播，在流传
,abrogate,['?br?uɡeit],v.废止，废除
,abrogation,[??br?'gei?n],"n.废止,废除"
rupt,abrupt,[?'br?pt],a突然的，意外的；唐突的
,abruptly,[?'br?ptli],ad.突然地;无礼地;
,abscess,['?bsis],n.脓肿
,abscisic acid,[?b'sizik-'?sid],n.[生化]脱落酸
,abscissa,[?b'sis?],n.横座标
,abscission,[?b'si??n],n.[医]切除，截去；[植]脱离
,abscond,[?b'sk?nd],v.潜逃，逃亡
,absence,['?bs?ns],n.缺乏，不存在；缺席，不在；缺席的时间
,absent,"['?bs?nt, ?b'sent]","a.缺席的；缺乏的,不存在的;心不在焉的"
,absentee,[??bsn'ti:;??bs?n'ti:],n.缺席者
,absenteeism,[?bs?n'ti:iz(?)m],n.旷课，旷工
,absolute,['?bs?lu:t],a.绝对的，完全的;无(条件)限制的
,absolute value,,n.绝对值
,absolutely,['?bs?lu:tli;'?bs??lu:tli],ad.完全地;绝对地
,absolve,[?b'z?lv],v.赦免，免除
,absorb,[?b's?:b],v.吸收；同化；吸引?的注意
,absorption,[?b's?:p??n],n.吸收
,abstain,[?b'stein],v.禁绝，放弃
,abstemious,[?b'sti:mj?s],a.有节制的，节俭的(eating&drinking)
,abstention,[?b'sten??n],n.节制
,abstentious,[?b'sten??s],a.节制的
,abstinence,['?bstin?ns;'?bst?n?ns],n.节制;禁欲
,abstinent,['?bstin?nt],a.饮食有度的，有节制的，禁欲的
,abstract,['?bstr?kt],n.摘要；a.抽象的
,abstruse,[?b'stru:s],a.难懂的，深奥的
,absurd,[?b's?:d],a.荒谬的，可笑的
